resume_text,job_description,label,compatibility_score
"Experienced professional in PMO. Proficient in project planning, risk management. Delivered impactful projects in the pmo domain.","Seeking a PMO with practical knowledge in risk management, project planning. Responsibilities include managing tasks related to pmo implementations.",1,91
"Experienced professional in Operations Manager. Proficient in team management, logistics. Delivered impactful projects in the operations manager domain.","Seeking a Operations Manager with practical knowledge in logistics, process optimization. Responsibilities include managing tasks related to operations manager implementations.",1,86
"Experienced professional in DevOps Engineer. Proficient in Docker, Kubernetes. Delivered impactful projects in the devops engineer domain.","Seeking a DevOps Engineer with practical knowledge in CI/CD, Kubernetes. Responsibilities include managing tasks related to devops engineer implementations.",1,96
"Experienced professional in HR. Proficient in employee relations, recruitment. Delivered impactful projects in the hr domain.","Seeking a HR with practical knowledge in payroll systems, employee relations. Responsibilities include managing tasks related to hr implementations.",1,97
"Experienced professional in Electrical Engineering. Proficient in signal processing, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a Electrical Engineering with practical knowledge in signal processing, circuits. Responsibilities include managing tasks related to electrical engineering implementations.",1,94
"Experienced professional in ETL Developer. Proficient in Informatica, data warehousing. Delivered impactful projects in the etl developer domain.","Seeking a ETL Developer with practical knowledge in Informatica, data warehousing. Responsibilities include managing tasks related to etl developer implementations.",1,99
"Experienced professional in Database. Proficient in data modeling, SQL. Delivered impactful projects in the database domain.","Seeking a Database with practical knowledge in performance tuning, SQL. Responsibilities include managing tasks related to database implementations.",1,92
"Experienced professional in Web Designing. Proficient in HTML, CSS. Delivered impactful projects in the web designing domain.","Seeking a Web Designing with practical knowledge in user experience, CSS. Responsibilities include managing tasks related to web designing implementations.",1,92
"Experienced professional in Business Analyst. Proficient in stakeholder communication, data modeling. Delivered impactful projects in the business analyst domain.","Seeking a Business Analyst with practical knowledge in data modeling, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",1,87
"Experienced professional in Hadoop. Proficient in big data pipelines, HDFS. Delivered impactful projects in the hadoop domain.","Seeking a Hadoop with practical knowledge in big data pipelines, MapReduce. Responsibilities include managing tasks related to hadoop implementations.",1,92
"Experienced professional in Electrical Engineering. Proficient in circuits, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a Electrical Engineering with practical knowledge in circuits, signal processing. Responsibilities include managing tasks related to electrical engineering implementations.",1,94
"Experienced professional in Database. Proficient in performance tuning, SQL. Delivered impactful projects in the database domain.","Seeking a Database with practical knowledge in performance tuning, SQL. Responsibilities include managing tasks related to database implementations.",1,89
"Experienced professional in Automation Testing. Proficient in test scripts, JUnit. Delivered impactful projects in the automation testing domain.","Seeking a Automation Testing with practical knowledge in test scripts, Selenium. Responsibilities include managing tasks related to automation testing implementations.",1,88
"Experienced professional in Testing. Proficient in test cases, QA. Delivered impactful projects in the testing domain.","Seeking a Testing with practical knowledge in test cases, bug tracking. Responsibilities include managing tasks related to testing implementations.",1,96
"Experienced professional in Electrical Engineering. Proficient in signal processing, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a Electrical Engineering with practical knowledge in circuits, signal processing. Responsibilities include managing tasks related to electrical engineering implementations.",1,89
"Experienced professional in Database. Proficient in performance tuning, SQL. Delivered impactful projects in the database domain.","Seeking a Database with practical knowledge in SQL, data modeling. Responsibilities include managing tasks related to database implementations.",1,99
"Experienced professional in Java Developer. Proficient in Spring Boot, REST APIs. Delivered impactful projects in the java developer domain.","Seeking a Java Developer with practical knowledge in Spring Boot, OOP. Responsibilities include managing tasks related to java developer implementations.",1,96
"Experienced professional in Business Analyst. Proficient in data modeling, requirement gathering. Delivered impactful projects in the business analyst domain.","Seeking a Business Analyst with practical knowledge in requirement gathering, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",1,95
"Experienced professional in Business Analyst. Proficient in requirement gathering, stakeholder communication. Delivered impactful projects in the business analyst domain.","Seeking a Business Analyst with practical knowledge in data modeling, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",1,97
"Experienced professional in PMO. Proficient in project planning, risk management. Delivered impactful projects in the pmo domain.","Seeking a PMO with practical knowledge in risk management, project planning. Responsibilities include managing tasks related to pmo implementations.",1,93
"Experienced professional in DevOps Engineer. Proficient in Docker, Kubernetes. Delivered impactful projects in the devops engineer domain.","Seeking a DevOps Engineer with practical knowledge in CI/CD, Kubernetes. Responsibilities include managing tasks related to devops engineer implementations.",1,100
"Experienced professional in ETL Developer. Proficient in Informatica, data pipelines. Delivered impactful projects in the etl developer domain.","Seeking a ETL Developer with practical knowledge in data warehousing, Informatica. Responsibilities include managing tasks related to etl developer implementations.",1,96
"Experienced professional in Network Security Engineer. Proficient in penetration testing, threat detection. Delivered impactful projects in the network security engineer domain.","Seeking a Network Security Engineer with practical knowledge in threat detection, firewalls. Responsibilities include managing tasks related to network security engineer implementations.",1,99
